Date,Activity,Quantity,Symbol,Price,Amount
12/26/2017,Deposit,0,,$0.00 ,$500.00 
12/29/2017,Bought,2,VOO,$246.76 ,($498.47)
3/29/2018,Dividend,0,VOO,$0.00 ,$2.17 
7/3/2018,Dividend,0,VOO,$0.00 ,$2.31 
10/1/2018,Dividend,0,VOO,$0.00 ,$2.41 
12/20/2018,Dividend,0,VOO,$0.00 ,$2.58 
3/26/2019,Dividend,0,VOO,$0.00 ,$2.91 
5/31/2019,Deposit,0,,$0.00 ,$500.00 
6/6/2019,Deposit,0,,$0.00 ,$20.00 
6/20/2019,Deposit,0,,$0.00 ,$20.00 
7/2/2019,Dividend,0,VOO,$0.00 ,$2.77 
7/5/2019,Deposit,0,,$0.00 ,$20.00 
7/18/2019,Deposit,0,,$0.00 ,$20.00 
8/1/2019,Deposit,0,,$0.00 ,$20.00 
8/15/2019,Deposit,0,,$0.00 ,$20.00 
8/29/2019,Deposit,0,,$0.00 ,$20.00 
9/12/2019,Deposit,0,,$0.00 ,$20.00 
9/23/2019,Bought,2,VOO,$274.59 ,($549.18)
9/26/2019,Deposit,0,,$0.00 ,$20.00 
10/1/2019,Dividend,0,VOO,$0.00 ,$5.21 
10/10/2019,Deposit,0,,$0.00 ,$20.00 
10/24/2019,Deposit,0,,$0.00 ,$20.00 
11/7/2019,Deposit,0,,$0.00 ,$20.00 
11/19/2019,Bought,2,BND,$84.10 ,($168.20)
11/21/2019,Deposit,0,,$0.00 ,$20.00 
12/5/2019,Dividend,0,BND,$0.00 ,$0.36 
12/5/2019,Deposit,0,,$0.00 ,$20.00 
12/19/2019,Deposit,0,,$0.00 ,$20.00 
12/20/2019,Sold,-2,VOO,$296.40 ,$592.77 
12/24/2019,Withdrawal,0,,$0.00 ,($697.64)
12/27/2019,Dividend,0,VOO,$0.00 ,$2.86 
12/27/2019,Dividend,0,BND,$0.00 ,$0.37 
1/2/2020,Deposit,0,,$0.00 ,$20.00 
1/2/2020,Deposit,0,,$0.00 ,$20.00 
1/7/2020,Withdrawal,0,,$0.00 ,($20.00)
1/16/2020,Deposit,0,,$0.00 ,$20.00 
1/30/2020,Deposit,0,,$0.00 ,$20.00 
2/3/2020,Deposit,0,,$0.00 ,$20.00 
2/6/2020,Dividend,0,BND,$0.00 ,$0.37 
3/2/2020,Deposit,0,,$0.00 ,$20.00 
3/5/2020,Dividend,0,BND,$0.00 ,$0.35 
3/13/2020,Dividend,0,VOO,$0.00 ,$2.36 
3/17/2020,Bought,5,ALLY,$16.42 ,($82.10)
4/2/2020,Deposit,0,,$0.00 ,$20.00 
4/6/2020,Dividend,0,BND,$0.00 ,$0.38 
5/4/2020,Deposit,0,,$0.00 ,$20.00 
5/6/2020,Dividend,0,BND,$0.00 ,$0.35 
5/15/2020,Dividend,0,ALLY,$0.00 ,$0.95 
6/2/2020,Deposit,0,,$0.00 ,$20.00 
6/4/2020,Dividend,0,BND,$0.00 ,$0.34 
6/15/2020,Deposit,0,,$0.00 ,$220.00 
6/15/2020,Bought,2,DUK,$85.03 ,($170.06)
6/19/2020,Bought,1,DRIV,$14.55 ,($14.55)
6/19/2020,Bought,1,SPEM,$34.06 ,($34.06)
6/19/2020,Bought,2,VEA,$39.68 ,($79.36)
6/22/2020,Transfer From Savings,0,,$0.00 ,$680.00 
6/22/2020,Bought,1,VEA,$39.33 ,($39.33)
6/22/2020,Bought,8,VYM,$79.73 ,($637.83)
6/25/2020,Reinvestment,0.01039,VEA,$38.50 ,($0.40)
6/25/2020,Dividend,0,VEA,$0.00 ,$0.40 
6/29/2020,Transfer From Savings,0,,$0.00 ,"$1,500.00 "
6/29/2020,Transfer From Savings,0,,$0.00 ,$600.00 
6/29/2020,Reinvestment,0.00901,SPEM,$33.30 ,($0.30)
6/29/2020,Dividend,0,SPEM,$0.00 ,$0.30 
6/29/2020,Bought,1,DRIV,$14.25 ,($14.25)
6/29/2020,Bought,2,CVS,$64.52 ,($129.03)
6/29/2020,Bought,1,DUK,$79.64 ,($79.64)
6/29/2020,Bought,1,MSFT,$197.19 ,($197.19)
6/29/2020,Bought,5,SO,$51.14 ,($255.69)
6/29/2020,Bought,2,JPM,$93.49 ,($186.99)
6/29/2020,Bought,3,O,$59.06 ,($177.17)
6/29/2020,Bought,4,VZ,$54.03 ,($216.10)
6/29/2020,Bought,5,PFE,$32.46 ,($162.29)
6/29/2020,Bought,8,T,$29.65 ,($237.23)
6/29/2020,Bought,2,VYM,$77.64 ,($155.28)
6/29/2020,Bought,5,ALLY,$19.34 ,($96.69)
6/29/2020,Bought,1,V,$190.44 ,($190.44)
7/2/2020,Reinvestment,0.00993,VOO,$289.08 ,($2.87)
7/2/2020,Dividend,0,VOO,$0.00 ,$2.87 
7/2/2020,Deposit,0,,$0.00 ,$20.00 
7/7/2020,Reinvestment,0.00362,BND,$88.34 ,($0.32)
7/7/2020,Dividend,0,BND,$0.00 ,$0.32 
7/8/2020,Reinvestment,0.00327,DRIV,$0.00 ,($0.05)
7/8/2020,Dividend,0,DRIV,$0.00 ,$0.05 
7/15/2020,Reinvestment,0.012,O,$58.35 ,($0.70)
7/15/2020,Dividend,0,O,$0.00 ,$0.70 
7/20/2020,Withdrawal,0,,$0.00 ,($73.93)
7/21/2020,Deposit,0,,$0.00 ,$50.00 
7/21/2020,Bought,1,KO,$47.56 ,($47.56)
7/22/2020,Deposit,0,,$0.00 ,$248.00 
7/22/2020,Bought,1,VNQ,$78.69 ,($78.69)
7/22/2020,Bought,2,SBUX,$76.64 ,($153.28)
7/22/2020,Bought,1,KO,$47.19 ,($47.19)
7/29/2020,Transfer From Savings,0,,$0.00 ,$150.00 
7/29/2020,Bought,3,INTC,$48.19 ,($144.56)
7/31/2020,Reinvestment,0.01878,JPM,$95.84 ,($1.80)
7/31/2020,Dividend,0,JPM,$0.00 ,$1.80 
8/3/2020,Reinvestment,0.01578,CVS,$63.39 ,($1.00)
8/3/2020,Reinvestment,0.14087,T,$29.53 ,($4.16)
8/3/2020,Reinvestment,0.04295,VZ,$57.28 ,($2.46)
8/3/2020,Dividend,0,VZ,$0.00 ,$2.46 
8/3/2020,Dividend,0,CVS,$0.00 ,$1.00 
8/3/2020,Dividend,0,T,$0.00 ,$4.16 
8/6/2020,Reinvestment,0.00357,BND,$89.52 ,($0.32)
8/6/2020,Dividend,0,BND,$0.00 ,$0.32 
8/14/2020,Reinvestment,0.08627,ALLY,$22.02 ,($1.90)
8/14/2020,Reinvestment,0.01145,O,$61.14 ,($0.70)
8/14/2020,Dividend,0,O,$0.00 ,$0.70 
8/14/2020,Dividend,0,ALLY,$0.00 ,$1.90 
8/21/2020,Reinvestment,0.01067,SBUX,$76.87 ,($0.82)
8/21/2020,Dividend,0,SBUX,$0.00 ,$0.82 
8/21/2020,Deposit,0,,$0.00 ,$50.00 
8/27/2020,Deposit,0,,$0.00 ,$50.00 
8/27/2020,Bought,1,PFE,$37.79 ,($37.79)
8/27/2020,Bought,1,T,$29.86 ,($29.86)
8/27/2020,Bought,1,SPEM,$37.40 ,($37.40)
8/31/2020,Transfer From Savings,0,,$0.00 ,$260.00  
8/31/2020,Bought,2,AAPL,$128.25 ,($256.50)
8/31/2020,Bought,2,AAPL,$128.27 ,($256.54)
8/31/2020,Canceled,-2,AAPL,$128.27 ,$256.54
9/1/2020,Reinvestment,0.05051,PFE,$37.62 ,($1.90)
9/1/2020,Reinvestment,0.00141,V,$212.77 ,($0.30)
9/1/2020,Reinvestment,0.01967,INTC,$50.33 ,($0.99)
9/1/2020,Dividend,0,V,$0.00 ,$0.30 
9/1/2020,Dividend,0,INTC,$0.00 ,$0.99 
9/1/2020,Dividend,0,PFE,$0.00 ,$1.90 
9/4/2020,Reinvestment,0.0035,BND,$88.49 ,($0.31)
9/4/2020,Dividend,0,BND,$0.00 ,$0.31 
9/8/2020,Reinvestment,0.06156,SO,$51.98 ,($3.20)
9/8/2020,Dividend,0,SO,$0.00 ,$3.20 
9/8/2020,Deposit,0,,$0.00 ,$600.00 
9/8/2020,Bought,1,CVS,$59.78 ,($59.78)
9/8/2020,Bought,1,AAPL,$117.79 ,($117.79)
9/8/2020,Bought,1,O,$64.58 ,($64.58)
9/8/2020,Bought,1,VYM,$82.12 ,($82.12)
9/8/2020,Bought,1,VZ,$59.94 ,($59.94)
9/8/2020,Bought,1,MSFT,$208.38 ,($208.38)
9/10/2020,Reinvestment,0.00239,MSFT,$213.46 ,($0.51)
9/10/2020,Dividend,0,MSFT,$0.00 ,$0.51 
9/15/2020,Reinvestment,0.01074,O,$66.10 ,($0.71)
9/15/2020,Dividend,0,O,$0.00 ,$0.71 
9/16/2020,Reinvestment,0.03399,DUK,$85.32 ,($2.90)
9/16/2020,Dividend,0,DUK,$0.00 ,$2.90 
9/21/2020,Deposit,0,,$0.00 ,$50.00 
9/21/2020,Bought,1,ALLY,$24.41 ,($24.41)
9/21/2020,Bought,1,T,$28.40 ,($28.40)
9/24/2020,Reinvestment,0.0994,VYM,$78.07 ,($7.76)
9/24/2020,Reinvestment,0.0165,VEA,$40.00 ,($0.66)
9/24/2020,Dividend,0,VEA,$0.00 ,$0.66 
9/24/2020,Dividend,0,VYM,$0.00 ,$7.76 
9/25/2020,Transfer From Savings,0,,$0.00 ,$57.00 
9/25/2020,Bought,2,T,$28.06 ,($56.12)
9/30/2020,Reinvestment,0.00741,VNQ,$79.62 ,($0.59)
9/30/2020,Dividend,0,VNQ,$0.00 ,$0.59 
10/1/2020,Reinvestment,0.01657,KO,$49.49 ,($0.82)
10/1/2020,Dividend,0,KO,$0.00 ,$0.82 
10/2/2020,Reinvestment,0.00857,VOO,$306.76 ,($2.63)
10/2/2020,Dividend,0,VOO,$0.00 ,$2.63 
10/6/2020,Reinvestment,0.00342,BND,$87.84 ,($0.30)
10/6/2020,Dividend,0,BND,$0.00 ,$0.30 
10/15/2020,Reinvestment,0.01548,O,$60.71 ,($0.94)
10/15/2020,Dividend,0,O,$0.00 ,$0.94 
10/21/2020,Deposit,0,,$0.00 ,$50.00 
10/23/2020,Bought,1,INTC,$48.18 ,($48.18)
11/2/2020,Reinvestment,0.232,T,$27.20 ,($6.31)
11/2/2020,Reinvestment,0.01853,JPM,$98.22 ,($1.82)
11/2/2020,Reinvestment,0.05501,VZ,$57.44 ,($3.16)
11/2/2020,Reinvestment,0.02661,CVS,$56.74 ,($1.51)
11/2/2020,Dividend,0,CVS,$0.00 ,$1.51 
11/2/2020,Dividend,0,JPM,$0.00 ,$1.82 
11/2/2020,Dividend,0,T,$0.00 ,$6.31 
11/2/2020,Dividend,0,VZ,$0.00 ,$3.16 
11/5/2020,Reinvestment,0.0034,BND,$88.21 ,($0.30)
11/5/2020,Dividend,0,BND,$0.00 ,$0.30 
11/12/2020,Reinvestment,0.00519,AAPL,$119.49 ,($0.62)
11/12/2020,Dividend,0,AAPL,$0.00 ,$0.62 
11/13/2020,Reinvestment,0.07114,ALLY,$29.66 ,($2.11)
11/13/2020,Reinvestment,0.0152,O,$62.52 ,($0.95)
11/13/2020,Dividend,0,O,$0.00 ,$0.95 
11/13/2020,Dividend,0,ALLY,$0.00 ,$2.11 
11/16/2020,Transfer From Savings,0,,$0.00 ,$130.00 
11/16/2020,Sold,-2,DRIV,$20.67 ,$41.31 
11/16/2020,Bought,5,MDU,$25.45 ,($127.24)
11/16/2020,Bought,2,MDU,$25.43 ,($50.86)
11/17/2020,Stock Split,0.75074,VTRS,$0.00 ,$0.00 
11/17/2020,Sold,-0.00327,DRIV,$0.00 ,$0.06 
11/19/2020,Transfer From Savings,0,,$0.00 ,$6.00 
11/19/2020,Sold,-1,VNQ,$84.91 ,$84.89 
11/19/2020,Bought,1,MDU,$24.73 ,($24.73)
11/19/2020,Bought,1,INTC,$45.53 ,($45.53)
11/19/2020,Bought,1,T,$28.24 ,($28.24)
11/20/2020,Sold,-0.00741,VNQ,$0.00 ,$0.62 
11/23/2020,Deposit,0,,$0.00 ,$50.00 
11/23/2020,Bought,1,PFE,$36.83 ,($36.83)
11/27/2020,Reinvestment,0.00913,SBUX,$98.59 ,($0.90)
11/27/2020,Dividend,0,SBUX,$0.00 ,$0.90 
12/1/2020,Reinvestment,0.00151,V,$211.92 ,($0.32)
12/1/2020,Reinvestment,0.02693,INTC,$49.39 ,($1.33)
12/1/2020,Reinvestment,0.05779,PFE,$39.80 ,($2.30)
12/1/2020,Dividend,0,PFE,$0.00 ,$2.30 
12/1/2020,Dividend,0,INTC,$0.00 ,$1.33 
12/1/2020,Dividend,0,V,$0.00 ,$0.32 
12/4/2020,Reinvestment,0.0033,BND,$87.91 ,($0.29)
12/4/2020,Dividend,0,BND,$0.00 ,$0.29 
12/7/2020,Reinvestment,0.05266,SO,$61.53 ,($3.24)
12/7/2020,Dividend,0,SO,$0.00 ,$3.24 
12/8/2020,Transfer From Savings,0,,$0.00 ,$450.00 
12/8/2020,Bought,0.03162,AMZN,"$3,162.26 ",($100.00)
12/8/2020,Bought,0.45815,PYPL,$218.27 ,($100.00)
12/8/2020,Bought,0.0553,GOOGL,"$1,808.48 ",($100.00)
12/8/2020,Bought,0.09281,NVDA,$538.73 ,($50.00)
12/8/2020,Bought,1,IRBT,$77.52 ,($77.52)
12/8/2020,Bought,0.00711,AMZN,"$3,169.67 ",($22.53)
12/10/2020,Reinvestment,0.00527,MSFT,$212.40 ,($1.12)
12/10/2020,Dividend,0,MSFT,$0.00 ,$1.12 
12/10/2020,Bought,0.0025,AMZN,"$3,104.00 ",($7.76)
12/15/2020,Reinvestment,0.01539,KO,$53.93 ,($0.83)
12/15/2020,Reinvestment,0.01573,O,$60.39 ,($0.95)
12/15/2020,Dividend,0,O,$0.00 ,$0.95 
12/15/2020,Dividend,0,KO,$0.00 ,$0.83 
12/16/2020,Reinvestment,0.03174,DUK,$92.31 ,($2.93)
12/16/2020,Dividend,0,DUK,$0.00 ,$2.93 
12/21/2020,Transfer From Savings,0,,$0.00 ,$150.00 
12/21/2020,Deposit,0,,$0.00 ,$50.00 
12/21/2020,Bought,1,CVS,$68.38 ,($68.38)
12/21/2020,Bought,1,VYM,$89.61 ,($89.61)
